Timestamp,Value
1435712590,675
1435716161,409
1435717766,682
1435719418,677
1435720818,706
1435721162,415
1435724021,688
1435724375,683
1435725821,696
1435727603,547
1435727933,579
1435728052,509
1435734886,98
1435736884,277
1435739995,290
1435740133,124
1435746996,663
1435750991,687
1435798759,391
1435799003,655
1435801974,710
1435803685,691
1435806489,666
1435808608,598
1435810526,642
1435810935,697
1435813339,764
1435817009,637
1435822870,118
1435833663,691
1435978181,673
1435990155,140
1436039279,1870
1436061747,692
1436101959,828
1436144757,681
1436146640,438
1436147192,683
1436152542,451
1436152943,639
1436154902,294
1436154955,610
1436155342,516
1436156211,778
1436157774,708
1436158163,555
1436158197,740
1436158779,674
1436166454,717
1436169747,566
1436171362,735
1436171849,671
1436171905,425
1436176480,560
1436177391,192
1436183401,160
1436230732,417
1436230751,640
1436237595,1905
1436237621,564
1436238035,589
1436238399,675
1436239384,432
1436239467,673
1436241226,597
1436243843,641
1436244247,695
1436246259,704
1436247238,600
1436247802,430
1436248878,140
1436250473,455
1436251361,702
1436256954,382
1436257271,363
1436258989,1630
1436261145,618
1436263142,743
1436269888,140
1436316849,675
1436318532,661
1436322400,681
1436323013,589
1436324319,671
1436324795,670
1436325317,686
1436328881,686
1436329964,663
1436330429,705
1436332502,411
1436332525,704
1436332536,487
1436333264,642
1436333347,705
1436334325,534
1436344049,602
1436345537,689
1436346827,641
1436347428,554
1436348150,416
1436350001,699
1436352785,369
1436403364,690
1436405550,316
1436409341,699
1436410452,669
1436415529,1198
1436415638,316
1436417119,656
1436417631,643
1436420156,709
1436421838,681
1436422584,716
1436424159,751
1436425860,438
1436430570,670
1436431055,669
1436431135,365
1436431226,1226
1436434094,651
1436434866,583
1436489944,682
1436491316,681
1436492665,418
1436494747,523
1436495595,557
1436497032,694
1436497937,674
1436500147,752
1436500744,1588
1436500783,599
1436501099,584
1436502616,696
1436503109,630
1436504398,698
1436505352,379
1436508433,548
1436511181,691
1436517981,417
1436520564,640
1436521088,660
1436521609,194
1436525006,259
1436526047,227
1436526928,543
1436560922,1159
1436675804,476
1436749042,669
1436750234,643
1436754600,684
1436754797,574
1436757223,679
1436757369,661
1436760696,600
1436763831,696
1436764219,876
1436764933,790
1436765568,724
1436765852,143
1436767829,631
1436770594,100
1436772081,62
1436773042,494
1436773050,364
1436775912,472
1436776871,387
1436776913,504
1436778669,581
1436779418,381
1436779494,652
1436781513,374
1436782884,348
1436783993,462
1436784707,590
1436784854,534
1436787406,667
1436789810,342
1436835650,653
1436835944,576
1436840485,576
1436840634,688
1436842646,678
1436844843,694
1436845777,695
1436846208,1996
1436848529,409
1436848690,329
1436849035,1260
1436850625,322
1436851143,715
1436853000,643
1436853419,438
1436865147,702
1436865876,719
1436866936,244
1436867051,698
1436868262,581
1436868353,574
1436869319,551
1436869376,433
1436869440,415
1436871956,392
1436921973,682
1436923945,386
1436926970,544
1436927223,649
1436929075,653
1436930318,663
1436930331,627
1436934417,654
1436934836,583
1436935103,19
1436935256,1218
1436935498,319
1436935734,656
1436936208,683
1436937697,695
1436937808,713
1436947780,668
1436948160,673
1436948724,492
1436948837,418
1436950114,648
1436951466,528
1436951787,334
1436955851,60
1436960664,534
1437008354,684
1437010424,680
1437010649,565
1437013636,566
1437016315,657
1437016395,652
1437016815,667
1437018711,392
1437019373,656
1437019667,400
1437020486,204
1437021203,647
1437022119,663
1437023895,677
1437024266,1381
1437024623,703
1437026729,633
1437034665,450
1437035115,504
1437035354,472
1437037312,430
1437037873,143
1437038056,372
1437038749,1817
1437039116,155
1437039156,662
1437044905,620
1437050238,240
1437094470,681
1437096674,443
1437099560,629
1437102426,697
1437102735,666
1437105187,688
1437106573,650
1437107214,671
1437108174,644
1437110716,370
1437114210,667
1437114671,671
1437122631,692
1437124080,646
1437124219,360
1437124329,650
1437128341,689
1437129959,172
1437184694,670
1437356927,594
1437359631,578
1437362084,685
1437362576,642
1437362778,618
1437364013,708
1437365189,270
1437367132,649
1437368041,316
1437368172,628
1437369178,687
1437369348,643
1437370065,826
1437370271,424
1437375422,408
1437381639,348
1437382890,684
1437386335,547
1437386827,627
1437387289,589
1437387981,536
1437389058,841
1437390034,1402
1437392112,43
1437392296,699
1437440184,676
1437444911,552
1437445160,690
1437445806,535
1437447408,734
1437447833,669
1437448230,663
1437448621,578
1437449722,710
1437450397,688
1437450914,651
1437451523,93
1437453741,1231
1437454019,445
1437454253,639
1437455523,437
1437457027,2020
1437457401,619
1437458405,706
1437463694,135
1437465517,784
1437466038,274
1437466337,76
1437466860,530
1437468063,198
1437468476,482
1437468948,459
1437474803,649
1437476297,340
1437476489,658
1437482356,500
1437526861,676
1437530046,563
1437531315,671
1437532250,687
1437532262,554
1437532393,779
1437534087,701
1437534554,710
1437534857,655
1437535349,672
1437536970,550
1437537881,287
1437538237,592
1437538905,651
1437539233,566
1437539437,764
1437539959,672
1437541676,700
1437544527,693
1437551672,713
1437554178,695
1437554758,434
1437555429,844
1437555597,595
1437556462,371
1437558211,688
1437564005,641
1437565744,292
1437574567,1299
1437613247,680
1437613419,578
1437616856,459
1437618770,609
1437618819,684
1437618971,570
1437619649,714
1437621045,574
1437621635,675
1437622464,640
1437622968,504
1437622974,600
1437623277,678
1437623329,496
1437624045,603
1437624069,810
1437624147,702
1437624393,525
1437625191,662
1437625438,355
1437626140,764
1437626262,648
1437626919,695
1437630963,684
1437635646,707
1437639403,609
1437641352,644
1437641564,137
1437642537,1552
1437643393,588
1437643548,334
1437646581,413
1437646673,534
1437648194,409
1437648849,638
1437650901,137
1437651238,376
1437700015,675
1437703731,630
1437704270,717
1437704657,694
1437705237,612
1437707186,711
1437707936,672
1437708140,642
1437709117,615
1437709310,590
1437709443,1496
1437710037,663
1437711087,670
1437711209,202
1437711414,471
1437712061,622
1437714398,469
1437714592,446
1437722550,708
1437724185,677
1437725206,206
1437726083,649
1437726208,659
1437726649,602
1437728136,2038
1437728679,360
1437729429,339
1437730989,786
1437732042,48
1437732966,475
1437733281,749
1437737466,323
1437789510,353
1437791814,689
1437794865,522
1437802178,567
1437942676,2005
1437958550,678
1437959300,426
1437962885,585
1437963172,699
1437964017,659
1437964756,569
1437966198,703
1437966335,550
1437966669,710
1437967191,663
1437969339,488
1437971433,621
1437971633,710
1437976198,606
1437977913,568
1437983435,296
1437983642,711
1437985007,55
1437985851,457
1437986575,321
1437986663,685
1437988259,711
1437988790,738
1437988823,366
1437990478,438
1437999016,688
1437999861,363
1437999878,457
1438045343,682
1438045847,595
1438048942,625
1438050370,650
1438051390,553
1438051535,513
1438052107,644
1438052658,700
1438052693,702
1438053197,669
1438055671,692
1438055995,616
1438056552,634
1438057754,577
1438061625,600
1438066052,690
1438070593,710
1438071284,417
1438072040,676
1438074533,537
1438076320,739
1438076345,407
1438080236,1458
1438083476,650
1438086100,234
1438132851,613
1438135279,619
1438136789,641
1438137278,678
1438138081,677
1438138783,652
1438138993,716
1438139107,716
1438140122,600
1438140274,671
1438141663,802
1438143516,605
1438145408,436
1438145422,608
1438146517,677
1438147171,478
1438147417,685
1438152331,275
1438155740,696
1438156808,245
1438157554,566
1438158687,433
1438159546,684
1438161387,691
1438161562,326
1438163287,598
1438163559,591
1438164533,2116
